Obiectivul de politica,Cauta dupa obectivul de politica,1 O europa mai inteligenta,1 O europa mai inteligenta,1 O europa mai inteligenta,1 O europa mai inteligenta,1 O europa mai inteligenta,1 O europa mai inteligenta,1 O europa mai inteligenta,1 O europa mai inteligenta,1 O europa mai inteligenta,1 O europa mai inteligenta,1 O europa mai inteligenta,1 O europa mai inteligenta,1 O europa mai inteligenta
Titlu,Cauta dupa keyword (search),Investiții productive,Intreprinderi noi,Instrumente financiare,Digitalizare IMM,Digitalizare servicii publice,Agenția Regională de Inovare Vest,"Centre de creativitate și inovare
",Dezvoltare competențe,Clustere de inovare,Inovare IMM,"Organizații și
infrastructuri de CDI",Transfer tehnologic,Vouchere de inovare
Prioritate,Selecteaza prioritatea (lista checkbox),Prioritatea 1,Prioritatea 1,Prioritatea 1,Prioritatea 1,Prioritatea 1,Prioritatea 1,Prioritatea 1,Prioritatea 1,Prioritatea 1,Prioritatea 1,Prioritatea 1,Prioritatea 1,Prioritatea 1
Prioritate keyword,Filtreaza dupa numele prioritatii (lista categorii checkbox),Regiune inovatoare și competitivă,Regiune inovatoare și competitivă,Regiune inovatoare și competitivă,Regiune inovatoare și competitivă,Regiune inovatoare și competitivă,Regiune inovatoare și competitivă,Regiune inovatoare și competitivă,Regiune inovatoare și competitivă,Regiune inovatoare și competitivă,Regiune inovatoare și competitivă,Regiune inovatoare și competitivă,"Regiune inovatoare și competitivă",Regiune inovatoare și competitivă
Obiectivul Specific,Filtreaza dupa numele Obiectivului specific (lista categorii checkbox),"Creșterea competitivității și productivității
IMM-urilor","Creșterea competitivității și productivității
IMM-urilor","Creșterea competitivității și productivității
IMM-urilor","Valorificarea avantajelor digitalizării, în beneficiul cetățenilor, al companiilor, al organizațiilor de cercetare și al autorităților publice","Valorificarea avantajelor digitalizării, în beneficiul cetățenilor, al companiilor, al organizațiilor de cercetare și al autorităților publice","Dezvoltarea competențelor pentru specializare inteligentă
","Dezvoltarea și sporirea capacităților de cercetare și inovare și adoptarea tehnologiilor avansate.
","Dezvoltarea competențelor pentru specializare inteligentă, tranziție industrială și antreprenoriat
","Dezvoltarea și creșterea capacităților de cercetare și inovare și adoptarea tehnologiilor avansate.
","Dezvoltarea și creșterea capacităților de cercetare și inovare și adoptarea tehnologiilor avansate.
","Dezvoltarea și creșterea capacităților de cercetare și inovare și adoptarea tehnologiilor avansate.
","Dezvoltarea și creșterea capacităților de cercetare și inovare și adoptarea tehnologiilor avansate.
","Dezvoltarea și creșterea capacităților de cercetare și inovare și adoptarea tehnologiilor avansate
"
Activitati Finantate,Filtreza dupa activitatile Finantate:,"Investiții în construcții industriale;
Dotare cu active corporale (ex. echipamente tehnologice, utilaje, instalații de lucru, mobilier) și active necorporale (ex. brevete, licențe, aplicații și programe informatice);
Internaționalizare, certificări;
Introducerea sau adoptarea de tehnologii verzi;
Activități care respectă principiul economiei circulare","Achizitia de echipamente tehnologie, utilaje de instalatii de lucru, mobilier;
Achizitia de active necorporale (ex brevete, licente, programe informatice) servicii suport de tip consiliere, mentoring coaching","Vor fi finanțate investițiile corporale și necorporale, capitalul de lucru dar și orice alte acțiuni care permit implementarea planului de afaceri, pe baza căruia va fi posibilă creșterea rapidă a valorii businessului și internaționalizarea afacerii;
Finanțarea se va face prin două instrumente: Instrument de capital de risc de accelerare a afacerilor
Instrument de venture capital.
(Accelerator combinat cu grant și fond seed)","Achiziția de echipamente hardware TIC;
Achiziția de licențe;
Investiții în aplicații particularizate, inclusiv soluții de automatizare;
Servicii pentru securitate cibernetică;
Platforme online de comercializare;
Servicii de găzduire și stocare;
Utilizarea tehnologiilor moderne ex. blockchain, big data, realitate virtuală;","Achiziția de echipamente hardware TIC;
Achiziția de licențe;
Investiții în aplicații particularizate,
inclusiv soluții de automatizare;
Servicii pentru securitate cibernetică;
Platforme online de comercializare;
Servicii de găzduire și stocare;
Utilizarea tehnologiilor moderne ex. blockchain, big data, realitate virtuală;","Operaționalizarea Agenției Regionale de Inovare (ARI) Vest prin sprijinirea unor activități specifice: Organizarea de întâlniri de descoperire antreprenorială;
Monitorizarea și evaluarea politicilor regionale de inovare;
Elaborarea, implementarea și monitorizarea Strategiei RIS3;
Efectuarea unei analize teritoriale a ecosistemului de inovare;
Pregătirea Agendei Regionale de Inovare;
Inventarierea și promovarea nevoilor și oportunităților din domeniul competențelor legate de inovare;
Alcătuirea unui portofoliu de experți tematici capabili să ofere sprijin procesului de generare, selectare sau implementare de proiecte inovatoare la nivel regional, de ex. vouchere de inovare;
Furnizarea de servicii suport și de consultanță pentru inovare;
Dezvoltarea conceptuală a celor 4 Centre de Creativitate și Inovare.","Operaționalizarea a 4 Centre de Creativitate și Inovare (CCI) în domeniile de specializare inteligentă care vor lua forma unor Open-Labs de inovare și vor urmări accelerarea transferului de cunoștințe și abilități de cercetare-dezvoltare-inovare (CDI) către utilizatorii finali.
","Îmbunătățirea competențelor în domeniile de specializare inteligentă, cum ar fi: Abilități tehnice: necesare pentru rezolvarea problemelor inovative, proiectarea, operarea, îmbunătățirea și întreținerea utilajelor și a structurilor care încorporează noi tehnologii digitale avansate, abilități profesionale de IT;
Abilități de management inovativ: legate de planificarea afacerii în contextul i4.0 și i.5.0, respectarea reglementărilor și controlul calității, planificarea resurselor umane și alocării eficiente a resurselor în activități inovative;
Abilităţi creative: utile pentru activități de inovare, în crearea de produse noi cu valoare adăugată, în a experimenta în afara normelor convenţionale şi a transforma diverse probleme sociale şi economice în oportunităţi antreprenoriale;
Abilități antreprenoriale pentru firme inovatoare, în special în sectorul high-tech: specifice pentru companii noi, cum ar fi crearea unui plan de afaceri sustenabil, acceptarea și gestionarea riscurilor, gândirea strategică, capacitatea de a crea rețele noi, capacitatea de a face față provocărilor și cerințelor noi legate de tranziţia către i4.0 și i5.0; 
Abilități ecologice (green): specifice pentru a genera sau modifica produse, servicii şi procese în conformitate cu principiile economiei circulare e.g. reciclează, reutilizează, reprelucrează, şi a nevoii de adaptare continuă la schimbările climatice, respectiv a reglementărilor privind schimbările climatice.;","Valorificarea resurselor comune existente sau noi, inclusiv de CDI, pentru a genera produse, procese și servicii inovative;
Sprijinirea membrilor clusterelor pentru avansarea pe lanțurile valorice în domeniile tehnologiilor industriale avansate, economiei circulare sau tehnologiei digitale;
Organizarea de întâlniri tematice specifice, sesiuni de formare și dezvoltare de competențe, evenimente de benchmarking, matchmaking și alte seminarii, participarea la evenimente naționale și internaționale, angrenarea membrilor în activități de networking și schimburi de experiență;
Facilitarea implementării de noi modele financiare, de planificare, de management și marketing la nivelul membrilor clusterelor.;","Investiții în active fixe și necorporale,legate direct de activități de inovare și cercetare aplicată, disruptivă, cu valoare adăugată, în domeniile de specializare inteligentă regională;
Achiziționarea de soluții tehnice rezultate din activități de cercetare, cu scopul de a dezvolta sau adopta soluții inovatoare in conformitate cu cerințele consumatorilor și tranziția către industria 4.0 și 5.0;
Activități care să susțină și să accelereze integrarea actorilor regionali în lanțurile de valori specifice.
","Activități în vederea dezvoltării ecosistemului regional de inovare, accelerării transferului tehnologic în conformitate cu cerințele pieței, schimbului de cunoștințe și întăririi culturii și capacităților organizaționale;
Investiții în active fixe și necorporale, legate direct de activități de inovare și cercetare aplicată, disruptivă, cu valoare adăugată, în domeniile de specializare inteligentă regională;
Achiziționarea de soluții tehnice rezultate din activități de cercetare, cu scopul de a dezvolta sau adopta soluții inovatoare in conformitate cu cerințele consumatorilor și tranziția către industria 4.0 și 5.0;
Activități care să susțină și să accelereze integrarea actorilor regionali în lanțurile de valori specifice.;","Implementarea unui rezultat de cercetaredezvoltare-inovare (CDI) aflat la un nivel de maturitate tehnologică de minim TRL 4;
Investiții pentru achiziția de dotări și echipamente, servicii de consultanță în domeniul inovării, care asigură posibilitatea implementării procesului de creare/adoptare a unei soluții inovatoare, bazată pe achiziționarea de cunoștințe/tehnologii rezultate din activități CDI derulate de organizații de cercetare, publice sau private.;","Voucherul de inovare poate fi utilizat pentru următoarele tipuri de activități:Servicii de cercetare privind punerea în aplicare a ideilor inovatoare;
Dezvoltarea de algoritmi și metode noi;
Pregătirea și introducerea brevetelor în cadrul IMM-urilor;
Sprijin pentru dezvoltarea de prototipuri;
Concepte pentru managementul inovării tehnice;
Explorarea de noi tehnologii și noi idei de afaceri;
Voucherul de inovare urmărește dezvoltarea de noi produse, procese, sau servicii prin
care IMM-ul dobândește cunoștințe și competențe noi, cu accent pe economia cu emisii
reduse de dioxid de carbon, pe reziliență, pe adaptarea la schimbările climatice și pe
economia circulară.;"
Beneficiari Eligibili,"Filtreaza dupa numarul de angajati, urban/rural","Microîntreprinderi (0-9 angajați) cu sediul social și locația de implementare în Regiunea
Vest, în mediul urban și în stațiunile turistice atestate; 
Intreprinderi mici (10-49 angajați) cu sediul social și locația de implementare în Regiunea
Vest, în mediul urban și în stațiunile turistice atestate; 
Intreprinderi mijlocii (50-249 angajați) cu sediul social și locația de implementare în Regiunea
Vest, în mediul urban și în stațiunile turistice atestate;
Întreprinderi mici și mijlocii non-agricole din mediul rural.","Intreprinderi nou create in judetul hunedoara (0-9 angajati);
Intreprinderi nou create in judetul Caras-Serverin (0-9 angajati)","Pentru instrumentul de accelerare a afacerilor: Start-up-uri care au nevoie de infuzie
de capital pentru dezvoltarea produselor și serviciilor inovative proprii;
Pentru venture capital: IMM-uri cu produse și servicii inovative și/sau care utilizează
tehnologii noi și care au potențial mare de creștere și de internaționalizare.
","IMM-uri din Regiunea Vest.","IMM-uri din Regiunea Vest.",Ecosistemul de inovare și cetățenii din Regiunea Vest,"CCI-urile formate din membrii ecosistemului regional de inovare, colaborări
între mediul academic, de cercetare și privat.","IMM-urile din Regiunea Vest și angajații acestora din domeniile de specializare inteligentă.
","IMM-urile din Regiunea Vest și angajații acestora din domeniile de
specializare inteligentă.
","IMM-uri din domeniile de specializare inteligentă – individual sau în parteneriat cu alte întreprinderi.
",Parteneriate formate din minim 1 IMM și organizații/infrastructuri de cercetare și alte întreprinderi (inclusiv întreprinderi mari).,"IMM-uri din domeniile de specializare inteligentă – în parteneriat cu entități de cercetare (universități, institute de cercetare, entități de transfer tehnologic) sau cu întreprinderi mari.","IMM-uri din Regiunea Vest, din domeniile de specializare inteligentă."
Beneficiari Finali,Filtreaza dupa beneficiari finali,,,,,,,"IMM-urile din domeniile de specializare inteligentă;
Actorii din mediul academic și de cercetare, elevi și studenți implicați în proiectele
CDI.","Actorii publici și privați ai sistemului de inovare, IMM-urile și angajații acestora, organizațiile de tip cluster, autoritățile publice, intermediari, organizațiile de educație și formare, instituțiile de cercetare private și publice.
","Membrii clusterului.","Actorii ecosistemului regional de inovare și populația Regiunii Vest.","Actorii ecosistemului regional de inovare și populația Regiunii Vest.",Actorii ecosistemului regional de inovare și populația Regiunii Vest.,Membrii ecosistemul de inovare și cetățenii din Regiunea Ves
Indicatori,Filtreaza dupa Indicatori: lista categorii,"Întreprinderi care beneficiază de sprijin prin granturi;
Locuri de muncă create;
IMM-uri cu o valoare adăugată mai mare per angajat – creștere față de anul anterior începerii proiectului;
IMM-uri care introduc inovații în materie de produse, servicii și procese;
IMM-uri care introduc inovații în materie de comercializare sau organizare.
","Intreprinderi nou infiintate, in judetul Hunedoara, care beneficiaza de sprijin nerambursabil;
Intreprinderi nou infiintate, in judetul Caras-Severin, care beneficiaza de sprijin nerambursabil;
Locuri de munca nou create, intreprindrei noi aflate inca pe piata cel putin inca un an de la data finalizarii proiectului","Intreprinderi nou infiintate, in judetul Hunedoara, care beneficiaza de sprijin nerambursabil;
Intreprinderi nou infiintate, in judetul Caras-Severin, care beneficiaza de sprijin nerambursabil;
Locuri de munca nou create, intreprindrei noi aflate inca pe piata cel putin inca un an de la data finalizarii proiectului","IMM-uri care ating un nivel ridicat de digitalizare ca urmare a serviciilor și produselor achiziționate;
Valoarea serviciilor a produselor și a proceselor digitale dezvoltate pentru întreprinderi;
Utilizatori de servicii, produse și procese digitale, noi și optimizate, dezvoltate de întreprinderi.;
","IMM-uri care ating un nivel ridicat de digitalizare ca urmare a serviciilor și produselor achiziționate;
Valoarea serviciilor a produselor și a proceselor digitale dezvoltate pentru întreprinderi;
Utilizatori de servicii, produse și procese digitale, noi și optimizate, dezvoltate de
întreprinderi.;
","Participarea părților interesate la procese de descoperire antreprenorială;
Contribuții/acțiuni de consolidare a ecosistemului regional de inovare.","Organizații de cercetare care participă la proiecte de cercetare comune;
Cercetători care lucrează în centre de cercetare care beneficiază de sprijin;
Valoarea nominală a echipamentelor pentru cercetare și inovare;
Întreprinderi care cooperează cu organizații de cercetare;
Întreprinderi care beneficiază de sprijin prin granturi;
Locuri de muncă create în domeniul cercetării în entitățile care beneficiază de sprijin;
Investiții private care completează sprijinul public;
IMM-uri care introduc inovații în materie de produse sau procese;
Publicații ale proiectelor care beneficiază de sprijin;
Cereri de brevete depuse;","IMM-uri care investesc în competențe pentru specializarea inteligentă, pentru tranziția industrială și antreprenoriat;
Angajați din IMM-uri care finalizează programe de formare a competențelor pentru specializare inteligentă, pentru tranziție industrială și antreprenoriat (pe tip de competențe: tehnice, de management, de antreprenoriat, ecologice, altele).
","IMM-uri care investesc în competențe pentru specializarea inteligentă, pentru tranziția industrială și antreprenoriat;
Angajați din IMM-uri care finalizează programe de formare a competențelor pentru specializare inteligentă, pentru tranziție industrială și antreprenoriat (pe tip de competențe: tehnice, de management, de antreprenoriat, ecologice, altele).;","Întreprinderi care beneficiază de sprijin prin granturi;
Valoarea nominală a echipamentelor pentru cercetare și inovare;
Întreprinderi mici și mijlocii (IMM-uri) care introduc inovații în materie de produse sau procese;
IMM-uri care introduc inovații la nivel intern;
Investiții private care completează sprijinul public.;
","Organizații de cercetare care participă la proiecte de cercetare comune;
Cercetători care lucrează în centre de cercetare care beneficiază de sprijin;
Valoarea nominală a echipamentelor pentru cercetare și inovare;
Întreprinderi care cooperează cu organizații de cercetare;
Întreprinderi care beneficiază de sprijin prin granturi;
Locuri de muncă create în domeniul cercetării în entitățile care beneficiază de sprijin;
Investiții private care completează sprijinul public;
IMM-uri care introduc inovații în materie de produse sau procese;
Publicații ale proiectelor care beneficiază de sprijin;
Cereri de brevete depuse.;","Întreprinderi care beneficiază de sprijin prin granturi; 
Întreprinderi care cooperează cu organizații de cercetare; 
Întreprinderi mici și mijlocii (IMM-uri) care introduc inovații în materie de produse sau procese;
Investiții private care completează sprijinul public.;","Întreprinderi care beneficiază de sprijin prin granturi;
IMM-uri care introduc inovații în materie de produse sau procese;
IMM-uri care introduc inovații în materie de comercializare sau organizare.;
"
Beneficii,,,,"Instrumentele financiare vor finanța IMM-urile prin investiții de capital de risc (equity) care reprezintă capitalul financiar oferit companiilor cu risc ridicat și potențial crescut de dezvoltare, în schimbul dreptului de proprietate asupra unei părți echivalente din capitalul întreprinderii respective;
Cererile de finanțare vor fi adresate Fondurilor Manager conform regulilor și cerințelor acestora;
Selectarea Fondurilor Manager de către Autoritatea de Management PR Vest se va
realiza prin achiziție publică:
Fondul Manager este o entitate privată care ia toate deciziile de investiții cu
diligența unui manager profesionist cu bună credință și este independent din punct
de vedere economic și juridic de Autoritatea de Management;
Finanțarea se va face pe baza unei cereri de finanțare elaborată conform solicitării
Fondului Manager. Investiția în equity furnizată și partea de capital solicitată în
schimb va fi negociată cu Fondul Manager, caz cu caz.
Rambursarea finanțării se va face în baza unei strategii de ieșire (exit) propusă încă
din momentul semnării contractului de finanțare (achiziția înapoi de către IMM a
părții de capital, achiziția de către altă companie sau fond de investiții a acelei părți
de capital sau a întregii companii, listarea la bursa de valori sau pe piața alternativă
AeRO).În compartimentul de pre accelerare vor fi furnizate servicii de instruire și mentorat
pentru consolidarea capacității IMM-urilor de a dezvolta produse și modele de
business și de a acumula cunoștințele care să le permită o creștere rapidă și a facilita
accesul la o finanțare ulterioară.;
","Digitalizarea este asociată cu o mai bună performanță a IMM-urilor în termeni de
productivitate, practici de management, inovare, creștere și locuri de muncă mai
bine remunerate.","Digitalizarea presupune ca autoritățile publice să ofere serviciile proprii la o calitate mai bună, prin intermediul internetului, fără a fi necesară deplasarea la un ghișeu;
Digitalizarea aduce multiple beneficii sectorului public. O instituție digitalizată este mai transparentă, mai corectă, capabilă să gestioneze și să coreleze informații mai rapid și eficient.;","Îmbunătățirea condițiilor cadru pentru activități CDI la nivel regional;
Coagularea ecosistemului de inovare regional și creșterea relevanței acestuia față de cerințele pieței;
Dezvoltarea unui portofoliu regional de competențe de inovare;
Realizarea de recomandări de politici publice – din perspectiva rolului de catalizator și regulator de piață și de sistem, incluzând elemente de sustenabilitate.
","Accelerarea transferului de cunoștințe și abilități de CDI către utilizatorii
finali;
Stimularea creativității și inovării;
Creșterea capacității mediului academic și organizațiilor de cercetare de
a se conecta la nevoile sectorului de afaceri, în vederea generării unor
procese și produse inovative în domeniile de specializare inteligentă
regionale;
Crearea de parteneriate între mediul academic, de cercetare și cel de
afaceri.;","Evoluția tehnologiilor, provocările mondiale și demografice ne influențează modul în care lucrăm, învățăm, participăm la dezvoltarea societății și  ne trăim viața de zi cu zi. Dacă dispun de competențele adecvate, cetățenii se adaptează mai ușor la aceste schimbări și se bucură de bunăstare. Impactul pozitiv se resimte și asupra societății, productivității și creșterii economice; Dezvoltarea competențelor profesionale este necesară pentru a facilita procesul de tranziție industrială, inclusiv capacitatea IMM-urilor de a inova   la nivel intern și de a se angaja în parteneriate de inovare;
Este necesară adaptarea capitalului uman la noile realități profesionale apărute ca urmare a pandemiei de COVID 19","Evoluția tehnologiilor, provocările mondiale și demografice ne influențează modul în care lucrăm, învățăm, participăm la dezvoltarea societății și ne trăim viața de zi cu zi. Dacă dispun de competențele adecvate, cetățenii se adaptează mai ușor la aceste schimbări și se bucură de bunăstare. Impactul pozitiv se resimte și asupra societății, productivității și creșterii economice;
Dezvoltarea competențelor profesionale este necesară pentru a facilita procesul de tranziție industrială, inclusiv capacitatea IMM-urilor de a inova la nivel intern și de a se angaja în parteneriate de inovare;
Este necesară adaptarea capitalului uman la noile realități profesionale apărute ca urmare a pandemiei de COVID 19;","Acces la expertiza, echipamentele, laboratoarele din cadrul clusterelor, precum
și la resurse umane specializate, cursuri de pregătire specializate etc.;
Cooperarea cu alte întreprinderi din cluster, universități, institute de cercetare,
clienți, concurenți și furnizori;
Dezvoltarea și/sau modernizarea facilităților comune în clustere, va conduce la
creșterea capacităților de producție și îmbunătățirea tehnologiilor
întreprinderilor","Reducerea decalajului de inovare regional/dezvoltarea ecosistemului regional de inovare; 
Conectarea actorilor locali la lanțurile de valori internaționale prin implicarea lor în activități cu valoare adăugată ridicată în cele șase domenii de specializare inteligentă; 
Facilitarea transferului de cunoștințe dintre mediul academic și de cercetare către mediul privat și în beneficiul administrației publice;
Consolidarea bazei materiale publice de cercetare, în corelare cu nevoile pieței și aliniate dublei tranziții, verde și digitală.;","Facilitarea transferului și difuzarea noilor tehnologii între organizații de cercetare și întreprinderi;
Valorificarea rezultatelor CDI și consolidarea capacității de transfer tehnologic a ecosistemului regional de inovare, în corelare cu nevoile mediului de afaceri.;
Creșterea nivelului de profesionalizare a resursei umane implicată în activități CDI și transfer tehnologic;
Creșterea competitivității întreprinderilor, prin activități de inovare în cadrul acestora, inclusiv în domenii cheie pentru dubla tranziție verde și digitală;","Voucherele de inovare permit IMM-urilor să intre într-o activitate continuă și mai intensă de cercetare și inovare;
Prin intermediul voucherelor de inovare se pot rezolva probleme punctuale de CDI și se pot implementa soluții cu potențial real pentru produse/servicii noi sau semnificativ îmbunătățite, cu impact în piață;
Creșterea capacității și a disponibilității IMM-urilor de a coopera cu organizațiile de cercetare și inovare."
Provocari,,,,,,,,"Colaborarea redusă între mediul academic și de cercetare și mediul
privat;
Capacitatea redusă de inovare a întreprinderilor;
Impactul redus al transferului de cunoștințe către mediul de afaceri și
necorelarea cererii cu oferta;
Număr redus de entități de inovare și transfer tehnologic (EITT) implicate
activ în activitatea de transfer tehnologic.;","Tranziția verde și cea digitală redefinesc modul în care trăim, lucrăm și interacționăm și necesită o schimbare în aria de competențe pentru a valorifica pe deplin potențialul acestora;
Nevoia adaptării capitalului uman la procesul de tranziție industrială către i4.0  și i5.0 și în conformitate cu evoluțiile impuse de Pactul Verde European și celelalte politici europene relevante;
Fenomenele ""Brain drain"" și nevoia de a convinge capitalul uman activ în CDI să rămână în regiune;
Nevoia capitalului de a avansa pe scara pregătirii profesionale (upskilling), în special în contextul schimbărilor structurale care au loc pe piața muncii ca urmare a pandemiei de COVID 19.",,"Capacitatea scăzută a IMM-urilor de a colabora cu alte întreprinderi sau entități CDI în scopul inovării;
Numărul redus de clustere de inovare în Regiunea Vest;
Deficit de experți în domeniul inovării;
Contextul economic instabil;","Transfer scăzut al rezultatelor cercetării și inovării în piață; 
Slaba capacitate de inovare de proces și de produs a IMM-urilor;
Capacitate limitată a actorilor locali de a se asocia în lanțurile de valori specifice; Slaba conectare a cererii cu oferta de produse și servicii; 
Slaba cooperare a întreprinderilor cu mediul academic și de cercetare, astfel încât transferul de cunoștințe să aibă loc.;","Decalajul în materie de inovare la nivelul Regiunii Vest față de
media UE;
Cooperare redusă între IMM-uri și organizațiile de cercetare.","Decalajul în materie de inovare la nivelul Regiunii Vest față de media UE;
Cooperare redusă între IMM-uri și organizațiile de cercetare."
